league,last,this,team,start
croatia,48337,53842,HNK Gorica,l
croatia,48337,53842,Varaždin,l
iceland,50336,55986,Grótta,l
iceland,50336,55986,Fjölnir,l
sweden,50679,56336,Mjällby,l
sweden,50679,56336,Varberg,l
sweden 2,50770,56337,Akropolis,l
sweden 2,50770,56337,AFC Eskilstuna,u
sweden 2,50770,56337,GIF Sundsvall,u
sweden 2,50770,56337,Ljungskile,l
sweden 2,50770,56337,Umeå FC,l
